Order ID,Order Date,Customer ID,Customer Name,Customer Segment,Product ID,Product,Category,Region,City,Quantity,Unit Price,Gross Sales,Discount,Discount Amount,Sales,Unit Cost,Cost,Profit,Payment Method,Order Status,Source Channel
ORD-100066,04/05/2025,CUST-00718,Neha Nair,Home Office,SKU-020,Body Lotion,Beauty,North,Chandigarh,4,16.35,65.40,10.0%,6.54,58.86,7.00,27.41,0.00,Net Banking,Cancelled,Website
ORD-100067,12/07/2024,CUST-00624,Riya Iyer,Home Office,SKU-018,Sunscreen SPF 50,Beauty,West,Pune,2,19.82,39.64,10.0%,3.96,35.68,10.00,19.38,16.30,Cash On Delivery,Delivered,Marketplace
ORD-100068,11/06/2023,CUST-02443,Ananya Patel,Corporate,SKU-013,Running Shoes,Fashion,North,Delhi,5,73.83,369.15,10.0%,36.92,332.23,42.00,215.00,117.23,Cash On Delivery,Delivered,Marketplace
ORD-100069,19/07/2025,CUST-00239,Priya Gupta,Home Office,SKU-011,Cotton T-Shirt,Fashion,South,Hyderabad,5,17.93,89.65,0.0%,0.00,89.65,7.00,33.83,55.82,Credit Card,Shipped,Website
ORD-100070,21/07/2025,CUST-00644,Diya Verma,Consumer,SKU-023,Ergonomic Chair,Office Supplies,Central,Bhopal,1,184.46,184.46,20.0%,36.89,147.57,105.00,104.17,43.40,Upi,Delivered,Website
ORD-100071,20/02/2023,CUST-01818,Aarav Patel,Consumer,SKU-025,Stapler,Office Supplies,East,Bhubaneswar,3,12.65,37.95,20.0%,7.59,30.36,6.00,17.42,12.94,Net Banking,Delivered,Website
ORD-100072,12/02/2023,CUST-02481,Diya Mehta,Home Office,SKU-011,Cotton T-Shirt,Fashion,South,Bengaluru,4,19.08,76.32,0.0%,0.00,76.32,7.00,27.92,0.00,Upi,Cancelled,Marketplace
ORD-100073,27/12/2024,CUST-01976,Aarav Rao,Consumer,SKU-023,Ergonomic Chair,Office Supplies,West,Ahmedabad,4,170.55,682.20,0.0%,0.00,682.20,105.00,430.55,251.65,Credit Card,Processing,Marketplace
ORD-100074,25/12/2023,CUST-00517,Aditya Kapoor,Consumer,SKU-002,Bluetooth Speaker,Electronics,South,Hyderabad,6,46.24,277.44,0.0%,0.00,277.44,28.00,171.28,106.16,Debit Card,Delivered,Marketplace
ORD-100075,16/11/2024,CUST-02212,Rohan Nair,Consumer,SKU-017,Hair Dryer,Beauty,South,Chennai,1,59.98,59.98,0.0%,0.00,59.98,35.00,34.55,25.43,Net Banking,Shipped,Mobile App
ORD-100076,09/06/2024,CUST-00136,Kabir Patel,Corporate,SKU-009,Coffee Grinder,Home & Kitchen,East,Bhubaneswar,3,68.54,205.62,0.0%,0.00,205.62,41.00,121.14,84.48,Cash On Delivery,Delivered,Marketplace
ORD-100077,27/04/2024,CUST-00112,Arjun Sharma,Corporate,SKU-008,Storage Basket,Home & Kitchen,North,Chandigarh,2,29.24,58.48,0.0%,0.00,58.48,16.00,33.05,25.43,Credit Card,Processing,Website
ORD-100078,21/06/2024,CUST-02488,Aadhya Iyer,Consumer,SKU-011,Cotton T-Shirt,Fashion,North,Jaipur,1,20.13,20.13,10.0%,2.01,18.12,7.00,7.11,0.00,Wallet,Cancelled,Mobile App
ORD-100079,25/08/2025,CUST-02439,Rohan Reddy,Consumer,SKU-011,Cotton T-Shirt,Fashion,South,Hyderabad,3,18.36,55.08,0.0%,0.00,55.08,7.00,20.80,34.28,Cash On Delivery,Returned,Marketplace
ORD-100080,16/06/2025,CUST-00306,Neha Mishra,Corporate,SKU-006,Insulated Bottle,Home & Kitchen,East,Bhubaneswar,2,25.05,50.10,0.0%,0.00,50.10,11.00,21.37,28.73,Credit Card,Returned,Mobile App
ORD-100081,23/11/2024,CUST-01189,Rohan Jain,Consumer,SKU-024,Printer Paper Box,Office Supplies,East,Bhubaneswar,1,29.93,29.93,0.0%,0.00,29.93,15.00,14.65,15.28,Credit Card,Shipped,Website
ORD-100082,21/03/2024,CUST-00245,Arjun Sharma,Corporate,SKU-022,Gel Pen Pack,Office Supplies,West,Pune,5,10.85,54.25,0.0%,0.00,54.25,4.00,20.50,33.75,Credit Card,Delivered,Website
ORD-100083,08/09/2024,CUST-01454,Aadhya Sharma,Home Office,SKU-013,Running Shoes,Fashion,West,Pune,5,82.37,411.85,5.0%,20.59,391.26,42.00,214.23,177.03,Wallet,Shipped,Website
ORD-100084,03/05/2025,CUST-02439,Rohan Reddy,Consumer,SKU-008,Storage Basket,Home & Kitchen,South,Chennai,5,29.52,147.60,0.0%,0.00,147.60,16.00,78.80,68.80,Cash On Delivery,Delivered,Mobile App
ORD-100085,30/04/2025,CUST-00929,Kavya Singh,Home Office,SKU-003,USB-C Hub,Electronics,South,Chennai,5,37.41,187.05,10.0%,18.71,168.34,21.00,106.94,61.40,Wallet,Returned,Mobile App
ORD-100086,21/03/2025,CUST-02371,Vivaan Saxena,Home Office,SKU-019,Makeup Brush Set,Beauty,North,Delhi,5,32.88,164.40,5.0%,8.22,156.18,17.00,87.59,68.59,Credit Card,Delivered,Mobile App
ORD-100087,30/08/2025,CUST-00264,Aditya Gupta,Consumer,SKU-013,Running Shoes,Fashion,West,Mumbai,3,76.81,230.43,0.0%,0.00,230.43,42.00,126.00,104.43,Net Banking,Delivered,Website
ORD-100088,18/12/2024,CUST-02584,Arjun Iyer,Consumer,SKU-006,Insulated Bottle,Home & Kitchen,North,Chandigarh,3,25.29,75.87,0.0%,0.00,75.87,11.00,32.42,43.45,Wallet,Delivered,Marketplace
ORD-100089,11/07/2025,CUST-00895,Arjun Mishra,Corporate,SKU-011,Cotton T-Shirt,Fashion,North,Delhi,2,18.07,36.14,20.0%,7.23,28.91,7.00,13.51,15.40,Debit Card,Shipped,Marketplace
ORD-100090,15/07/2024,CUST-01201,Saanvi Gupta,Consumer,SKU-018,Sunscreen SPF 50,Beauty,West,Mumbai,1,19.78,19.78,10.0%,1.98,17.80,10.00,9.92,7.88,Upi,Delivered,Marketplace
ORD-100091,10/02/2023,CUST-01285,Saanvi Iyer,Home Office,SKU-015,Wrist Watch,Fashion,South,Bengaluru,1,95.05,95.05,0.0%,0.00,95.05,54.00,52.19,0.00,Credit Card,Cancelled,Mobile App
ORD-100092,05/05/2025,CUST-02113,Neha Gupta,Consumer,SKU-009,Coffee Grinder,Home & Kitchen,South,Bengaluru,3,69.87,209.61,10.0%,20.96,188.65,41.00,127.46,61.19,Credit Card,Delivered,Mobile App
ORD-100093,19/12/2024,CUST-02313,Arjun Jain,Corporate,SKU-023,Ergonomic Chair,Office Supplies,South,Bengaluru,4,176.90,707.60,5.0%,35.38,672.22,105.00,412.95,0.00,Credit Card,Cancelled,Marketplace
ORD-100094,20/06/2023,CUST-01320,Kabir Khan,Consumer,SKU-023,Ergonomic Chair,Office Supplies,East,Kolkata,4,178.93,715.72,5.0%,35.79,679.93,105.00,436.01,243.92,Upi,Returned,Mobile App
ORD-100095,28/03/2024,CUST-00037,Vivaan Gupta,Consumer,SKU-015,Wrist Watch,Fashion,South,Chennai,5,93.88,469.40,0.0%,0.00,469.40,54.00,278.25,191.15,Upi,Delivered,Website
ORD-100096,01/04/2025,CUST-00116,Aditya Khan,Consumer,SKU-007,Desk Lamp,Home & Kitchen,North,Delhi,4,42.88,171.52,0.0%,0.00,171.52,23.00,93.03,78.49,Net Banking,Delivered,Website
ORD-100098,29/12/2024,CUST-01587,Priya Verma,Home Office,SKU-006,Insulated Bottle,Home & Kitchen,Central,Bhopal,1,24.13,24.13,10.0%,2.41,21.72,11.00,10.90,10.82,Debit Card,Delivered,Marketplace
ORD-100099,12/07/2025,CUST-02438,Aadhya Patel,Consumer,SKU-002,Bluetooth Speaker,Electronics,North,Chandigarh,5,46.84,234.20,0.0%,0.00,234.20,28.00,136.61,0.00,Net Banking,Cancelled,Mobile App
ORD-100100,23/03/2024,CUST-02424,Aadhya Gupta,Consumer,SKU-022,Gel Pen Pack,Office Supplies,South,Hyderabad,1,10.54,10.54,0.0%,0.00,10.54,4.00,3.99,6.55,Net Banking,Delivered,Website
ORD-100101,02/05/2024,CUST-02252,Riya Saxena,Consumer,SKU-004,Mechanical Keyboard,Electronics,Central,Bhopal,1,88.25,88.25,0.0%,0.00,88.25,51.00,50.75,37.50,Credit Card,Returned,Marketplace
ORD-100102,11/02/2023,CUST-02229,Aarav Jain,Consumer,SKU-011,Cotton T-Shirt,Fashion,North,Jaipur,5,20.08,100.40,0.0%,0.00,100.40,7.00,33.76,66.64,Wallet,Delivered,Website
ORD-100103,19/04/2023,CUST-01769,Neha Jain,Consumer,SKU-015,Wrist Watch,Fashion,North,Jaipur,5,90.47,452.35,10.0%,45.24,407.11,54.00,267.24,139.87,Wallet,Delivered,Marketplace
ORD-100104,11/06/2024,CUST-00192,Kavya Gupta,Corporate,SKU-019,Makeup Brush Set,Beauty,North,Delhi,10,32.88,328.80,0.0%,0.00,328.80,17.00,170.28,158.52,Debit Card,Returned,Mobile App
ORD-100105,11/04/2025,CUST-00413,Diya Verma,Consumer,SKU-021,Notebook Set,Office Supplies,North,Jaipur,2,13.92,27.84,10.0%,2.78,25.06,5.00,9.80,15.26,Cash On Delivery,Returned,Marketplace
ORD-100106,13/03/2023,CUST-01174,Diya Singh,Consumer,SKU-017,Hair Dryer,Beauty,South,Hyderabad,4,60.78,243.12,5.0%,12.16,230.96,35.00,139.35,91.61,Credit Card,Delivered,Marketplace
ORD-100107,09/01/2025,CUST-00199,Neha Singh,Consumer,SKU-004,Mechanical Keyboard,Electronics,South,Bengaluru,3,86.15,258.45,0.0%,0.00,258.45,51.00,152.98,105.47,Cash On Delivery,Returned,Mobile App
ORD-100108,23/09/2023,CUST-00895,Arjun Mishra,Corporate,SKU-004,Mechanical Keyboard,Electronics,West,Ahmedabad,3,88.55,265.65,10.0%,26.57,239.08,51.00,156.98,82.10,Net Banking,Delivered,Mobile App
ORD-100109,22/02/2023,CUST-00474,Vivaan Rao,Corporate,SKU-015,Wrist Watch,Fashion,North,Jaipur,1,96.16,96.16,0.0%,0.00,96.16,54.00,54.09,42.07,Wallet,Returned,Mobile App
ORD-100110,12/06/2023,CUST-02385,Vivaan Das,Home Office,SKU-007,Desk Lamp,Home & Kitchen,South,Chennai,4,43.41,173.64,10.0%,17.36,156.28,23.00,90.81,65.47,Credit Card,Returned,Mobile App
ORD-100111,18/03/2023,CUST-01939,Arjun Singh,Consumer,SKU-011,Cotton T-Shirt,Fashion,West,Ahmedabad,2,18.54,37.08,10.0%,3.71,33.37,7.00,14.12,0.00,Cash On Delivery,Cancelled,Mobile App
ORD-100112,30/09/2023,CUST-01117,Unknown,Consumer,SKU-019,Makeup Brush Set,Beauty,West,Mumbai,1,33.92,33.92,10.0%,3.39,30.53,17.00,17.05,13.48,Credit Card,Delivered,Website
ORD-100113,23/03/2024,CUST-02135,Kavya Iyer,Corporate,SKU-005,Webcam,Electronics,North,Delhi,3,65.96,197.88,20.0%,39.58,158.30,37.00,111.87,46.43,Cash On Delivery,Delivered,Mobile App
ORD-100114,23/07/2024,CUST-01099,Rohan Rao,Consumer,SKU-012,Slim Fit Jeans,Fashion,West,Pune,5,44.75,223.75,0.0%,0.00,223.75,22.00,112.37,111.38,Debit Card,Shipped,Marketplace
ORD-100115,16/04/2025,CUST-02229,Aarav Jain,Consumer,SKU-001,Wireless Mouse,Electronics,West,Ahmedabad,2,22.68,45.36,0.0%,0.00,45.36,12.00,23.67,21.69,Wallet,Shipped,Mobile App
ORD-100116,16/01/2025,CUST-00124,Aditya Reddy,Consumer,SKU-014,Canvas Backpack,Fashion,South,Bengaluru,5,52.04,260.20,0.0%,0.00,260.20,27.00,130.15,130.05,Wallet,Processing,Marketplace
ORD-100117,28/08/2025,CUST-01062,Kabir Reddy,Consumer,SKU-009,Coffee Grinder,Home & Kitchen,East,Bhubaneswar,2,68.46,136.92,5.0%,6.85,130.07,41.00,85.19,44.88,Credit Card,Processing,Website
ORD-100118,16/09/2024,CUST-02359,Riya Kapoor,Consumer,SKU-018,Sunscreen SPF 50,Beauty,North,Chandigarh,3,20.57,61.71,20.0%,12.34,49.37,10.00,28.92,20.45,Credit Card,Processing,Website
ORD-100119,14/07/2023,CUST-01492,Aditya Mehta,Corporate,SKU-022,Gel Pen Pack,Office Supplies,South,Chennai,3,10.75,32.25,0.0%,0.00,32.25,4.00,11.85,20.40,Cash On Delivery,Delivered,Marketplace
ORD-100120,02/09/2024,CUST-01256,Aditya Kapoor,Consumer,SKU-007,Desk Lamp,Home & Kitchen,East,Kolkata,4,41.00,164.00,0.0%,0.00,164.00,23.00,89.75,74.25,Upi,Delivered,Marketplace
